,accuracy,metric,n_neighbors,weights,knn
190,0.7631828228607515,nan_euclidean,10,uniform,5
142,0.7631828228607515,euclidean,10,uniform,5
106,0.7631828228607515,minkowski,10,uniform,5
166,0.7631828228607515,l2,10,uniform,5
16,0.762709188506473,cityblock,5,uniform,3
76,0.762709188506473,manhattan,5,uniform,3
52,0.762709188506473,l1,5,uniform,3
112,0.7622355541521945,cityblock,5,uniform,5
148,0.7622355541521945,l1,5,uniform,5
172,0.7622355541521945,manhattan,5,uniform,5
259,0.7620776760341017,l2,7,distance,10
199,0.7620776760341017,minkowski,7,distance,10
235,0.7620776760341017,euclidean,7,distance,10
283,0.7620776760341017,nan_euclidean,7,distance,10
200,0.7616040416798232,minkowski,8,uniform,10
260,0.7616040416798232,l2,8,uniform,10
284,0.7616040416798232,nan_euclidean,8,uniform,10
236,0.7616040416798232,euclidean,8,uniform,10
189,0.7614461635617303,nan_euclidean,8,distance,5
141,0.7614461635617303,euclidean,8,distance,5
105,0.7614461635617303,minkowski,8,distance,5
165,0.7614461635617303,l2,8,distance,5
256,0.7603410167350805,l2,5,uniform,10
196,0.7603410167350805,minkowski,5,uniform,10
92,0.7603410167350805,nan_euclidean,8,uniform,3
8,0.7603410167350805,minkowski,8,uniform,3
68,0.7603410167350805,l2,8,uniform,3
232,0.7603410167350805,euclidean,5,uniform,10
44,0.7603410167350805,euclidean,8,uniform,3
280,0.7603410167350805,nan_euclidean,5,uniform,10
209,0.7600252604988949,cityblock,5,distance,10
245,0.7600252604988949,l1,5,distance,10
269,0.7600252604988949,manhattan,5,distance,10
20,0.759867382380802,cityblock,8,uniform,3
56,0.759867382380802,l1,8,uniform,3
80,0.759867382380802,manhattan,8,uniform,3
7,0.7584464793179665,minkowski,7,distance,3
43,0.7584464793179665,euclidean,7,distance,3
67,0.7584464793179665,l2,7,distance,3
91,0.7584464793179665,nan_euclidean,7,distance,3
152,0.7581307230817809,l1,8,uniform,5
116,0.7581307230817809,cityblock,8,uniform,5
176,0.7581307230817809,manhattan,8,uniform,5
103,0.757025576255131,minkowski,7,distance,5
188,0.757025576255131,nan_euclidean,8,uniform,5
139,0.757025576255131,euclidean,7,distance,5
104,0.757025576255131,minkowski,8,uniform,5
164,0.757025576255131,l2,8,uniform,5
140,0.757025576255131,euclidean,8,uniform,5
163,0.757025576255131,l2,7,distance,5
187,0.757025576255131,nan_euclidean,7,distance,5
64,0.7568676981370382,l2,5,uniform,3
40,0.7568676981370382,euclidean,5,uniform,3
4,0.7568676981370382,minkowski,5,uniform,3
88,0.7568676981370382,nan_euclidean,5,uniform,3
136,0.7556046731922955,euclidean,5,uniform,5
184,0.7556046731922955,nan_euclidean,5,uniform,5
100,0.7556046731922955,minkowski,5,uniform,5
160,0.7556046731922955,l2,5,uniform,5
53,0.7549731607199243,l1,5,distance,3
17,0.7549731607199243,cityblock,5,distance,3
77,0.7549731607199243,manhattan,5,distance,3
173,0.7549731607199243,manhattan,5,distance,5
149,0.7549731607199243,l1,5,distance,5
113,0.7549731607199243,cityblock,5,distance,5
257,0.7511840858856963,l2,5,distance,10
281,0.7511840858856963,nan_euclidean,5,distance,10
233,0.7511840858856963,euclidean,5,distance,10
197,0.7511840858856963,minkowski,5,distance,10
206,0.7469213766971897,cityblock,3,uniform,10
242,0.7469213766971897,l1,3,uniform,10
161,0.7469213766971897,l2,5,distance,5
101,0.7469213766971897,minkowski,5,distance,5
137,0.7469213766971897,euclidean,5,distance,5
185,0.7469213766971897,nan_euclidean,5,distance,5
266,0.7469213766971897,manhattan,3,uniform,10
5,0.7464477423429112,minkowski,5,distance,3
89,0.7464477423429112,nan_euclidean,5,distance,3
41,0.7464477423429112,euclidean,5,distance,3
65,0.7464477423429112,l2,5,distance,3
25,0.744868961161983,cosine,2,distance,3
121,0.744868961161983,cosine,2,distance,5
14,0.7437638143353331,cityblock,3,uniform,3
74,0.7437638143353331,manhattan,3,uniform,3
50,0.7437638143353331,l1,3,uniform,3
207,0.7425007893905905,cityblock,3,distance,10
267,0.7425007893905905,manhattan,3,distance,10
243,0.7425007893905905,l1,3,distance,10
217,0.7421850331544048,cosine,2,distance,10
170,0.7406062519734765,manhattan,3,uniform,5
110,0.7406062519734765,cityblock,3,uniform,5
146,0.7406062519734765,l1,3,uniform,5
230,0.7404483738553836,euclidean,3,uniform,10
278,0.7404483738553836,nan_euclidean,3,uniform,10
254,0.7404483738553836,l2,3,uniform,10
194,0.7404483738553836,minkowski,3,uniform,10
75,0.7379223239658983,manhattan,3,distance,3
15,0.7379223239658983,cityblock,3,distance,3
51,0.7379223239658983,l1,3,distance,3
62,0.7365014209030628,l2,3,uniform,3
38,0.7365014209030628,euclidean,3,uniform,3
86,0.7365014209030628,nan_euclidean,3,uniform,3
2,0.7365014209030628,minkowski,3,uniform,3
158,0.73634354278497,l2,3,uniform,5
134,0.73634354278497,euclidean,3,uniform,5
182,0.73634354278497,nan_euclidean,3,uniform,5
98,0.73634354278497,minkowski,3,uniform,5
147,0.7360277865487843,l1,3,distance,5
111,0.7360277865487843,cityblock,3,distance,5
171,0.7360277865487843,manhattan,3,distance,5
231,0.7341332491316703,euclidean,3,distance,10
255,0.7341332491316703,l2,3,distance,10
279,0.7341332491316703,nan_euclidean,3,distance,10
195,0.7341332491316703,minkowski,3,distance,10
63,0.730659930533628,l2,3,distance,3
39,0.730659930533628,euclidean,3,distance,3
87,0.730659930533628,nan_euclidean,3,distance,3
3,0.730659930533628,minkowski,3,distance,3
159,0.7292390274707925,l2,3,distance,5
135,0.7292390274707925,euclidean,3,distance,5
183,0.7292390274707925,nan_euclidean,3,distance,5
99,0.7292390274707925,minkowski,3,distance,5
145,0.7161351436690875,l1,2,distance,5
109,0.7161351436690875,cityblock,2,distance,5
169,0.7161351436690875,manhattan,2,distance,5
241,0.7142406062519735,l1,2,distance,10
205,0.7142406062519735,cityblock,2,distance,10
265,0.7142406062519735,manhattan,2,distance,10
