,accuracy,var_smoothing,knn,model,alpha,fit_prior,force_alpha,binarize
318,0.6848752762867066,,5,Bernoulli,0.5,False,False,2.0
558,0.6832964951057784,,10,Bernoulli,2.5,False,False,2.0
533,0.6832964951057784,,10,Bernoulli,2.0,False,True,2.0
534,0.6832964951057784,,10,Bernoulli,2.0,False,False,2.0
581,0.6832964951057784,,10,Bernoulli,3.0,False,True,2.0
557,0.6832964951057784,,10,Bernoulli,2.5,False,True,2.0
582,0.6832964951057784,,10,Bernoulli,3.0,False,False,2.0
346,0.6832964951057784,,5,Bernoulli,1.0,False,False,2.5
486,0.6832964951057784,,10,Bernoulli,1.0,False,False,2.0
485,0.6832964951057784,,10,Bernoulli,1.0,False,True,2.0
369,0.6832964951057784,,5,Bernoulli,1.5,False,True,2.5
370,0.6832964951057784,,5,Bernoulli,1.5,False,False,2.5
393,0.6832964951057784,,5,Bernoulli,2.0,False,True,2.5
394,0.6832964951057784,,5,Bernoulli,2.0,False,False,2.5
510,0.6832964951057784,,10,Bernoulli,1.5,False,False,2.0
509,0.6832964951057784,,10,Bernoulli,1.5,False,True,2.0
345,0.6832964951057784,,5,Bernoulli,1.0,False,True,2.5
461,0.6832964951057784,,10,Bernoulli,0.5,False,True,2.0
462,0.6832964951057784,,10,Bernoulli,0.5,False,False,2.0
322,0.6831386169876855,,5,Bernoulli,0.5,False,False,2.5
321,0.6831386169876855,,5,Bernoulli,0.5,False,True,2.5
417,0.6831386169876855,,5,Bernoulli,2.5,False,True,2.5
418,0.6831386169876855,,5,Bernoulli,2.5,False,False,2.5
441,0.6831386169876855,,5,Bernoulli,3.0,False,True,2.5
442,0.6831386169876855,,5,Bernoulli,3.0,False,False,2.5
586,0.6821913482791285,,10,Bernoulli,3.0,False,False,2.5
514,0.6821913482791285,,10,Bernoulli,1.5,False,False,2.5
490,0.6821913482791285,,10,Bernoulli,1.0,False,False,2.5
489,0.6821913482791285,,10,Bernoulli,1.0,False,True,2.5
585,0.6821913482791285,,10,Bernoulli,3.0,False,True,2.5
513,0.6821913482791285,,10,Bernoulli,1.5,False,True,2.5
562,0.6821913482791285,,10,Bernoulli,2.5,False,False,2.5
561,0.6821913482791285,,10,Bernoulli,2.5,False,True,2.5
465,0.6821913482791285,,10,Bernoulli,0.5,False,True,2.5
466,0.6821913482791285,,10,Bernoulli,0.5,False,False,2.5
537,0.6820334701610357,,10,Bernoulli,2.0,False,True,2.5
538,0.6820334701610357,,10,Bernoulli,2.0,False,False,2.5
229,0.6654562677612883,,3,Bernoulli,1.5,False,True,3.0
230,0.6654562677612883,,3,Bernoulli,1.5,False,False,3.0
277,0.6654562677612883,,3,Bernoulli,2.5,False,True,3.0
253,0.6654562677612883,,3,Bernoulli,2.0,False,True,3.0
302,0.6654562677612883,,3,Bernoulli,3.0,False,False,3.0
278,0.6654562677612883,,3,Bernoulli,2.5,False,False,3.0
254,0.6654562677612883,,3,Bernoulli,2.0,False,False,3.0
301,0.6654562677612883,,3,Bernoulli,3.0,False,True,3.0
205,0.6652983896431954,,3,Bernoulli,1.0,False,True,3.0
181,0.6652983896431954,,3,Bernoulli,0.5,False,True,3.0
206,0.6652983896431954,,3,Bernoulli,1.0,False,False,3.0
182,0.6652983896431954,,3,Bernoulli,0.5,False,False,3.0
446,0.6643511209346384,,5,Bernoulli,3.0,False,False,3.0
422,0.6643511209346384,,5,Bernoulli,2.5,False,False,3.0
445,0.6643511209346384,,5,Bernoulli,3.0,False,True,3.0
421,0.6643511209346384,,5,Bernoulli,2.5,False,True,3.0
398,0.6643511209346384,,5,Bernoulli,2.0,False,False,3.0
397,0.6643511209346384,,5,Bernoulli,2.0,False,True,3.0
325,0.6641932428165457,,5,Bernoulli,0.5,False,True,3.0
326,0.6641932428165457,,5,Bernoulli,0.5,False,False,3.0
374,0.6641932428165457,,5,Bernoulli,1.5,False,False,3.0
373,0.6641932428165457,,5,Bernoulli,1.5,False,True,3.0
350,0.6641932428165457,,5,Bernoulli,1.0,False,False,3.0
349,0.6641932428165457,,5,Bernoulli,1.0,False,True,3.0
566,0.6632459741079886,,10,Bernoulli,2.5,False,False,3.0
541,0.6632459741079886,,10,Bernoulli,2.0,False,True,3.0
517,0.6632459741079886,,10,Bernoulli,1.5,False,True,3.0
518,0.6632459741079886,,10,Bernoulli,1.5,False,False,3.0
542,0.6632459741079886,,10,Bernoulli,2.0,False,False,3.0
565,0.6632459741079886,,10,Bernoulli,2.5,False,True,3.0
590,0.6630880959898958,,10,Bernoulli,3.0,False,False,3.0
589,0.6630880959898958,,10,Bernoulli,3.0,False,True,3.0
494,0.6630880959898958,,10,Bernoulli,1.0,False,False,3.0
493,0.6630880959898958,,10,Bernoulli,1.0,False,True,3.0
469,0.6630880959898958,,10,Bernoulli,0.5,False,True,3.0
470,0.6630880959898958,,10,Bernoulli,0.5,False,False,3.0
429,0.6173034417429745,,5,Bernoulli,3.0,False,True,1.0
358,0.6173034417429745,,5,Bernoulli,1.5,False,False,1.0
430,0.6173034417429745,,5,Bernoulli,3.0,False,False,1.0
310,0.6173034417429745,,5,Bernoulli,0.5,False,False,1.0
309,0.6173034417429745,,5,Bernoulli,0.5,False,True,1.0
381,0.6173034417429745,,5,Bernoulli,2.0,False,True,1.0
333,0.6173034417429745,,5,Bernoulli,1.0,False,True,1.0
334,0.6173034417429745,,5,Bernoulli,1.0,False,False,1.0
382,0.6173034417429745,,5,Bernoulli,2.0,False,False,1.0
357,0.6173034417429745,,5,Bernoulli,1.5,False,True,1.0
405,0.6173034417429745,,5,Bernoulli,2.5,False,True,1.0
406,0.6173034417429745,,5,Bernoulli,2.5,False,False,1.0
478,0.6166719292706031,,10,Bernoulli,1.0,False,False,1.0
262,0.6166719292706031,,3,Bernoulli,2.5,False,False,1.0
285,0.6166719292706031,,3,Bernoulli,3.0,False,True,1.0
549,0.6166719292706031,,10,Bernoulli,2.5,False,True,1.0
214,0.6166719292706031,,3,Bernoulli,1.5,False,False,1.0
213,0.6166719292706031,,3,Bernoulli,1.5,False,True,1.0
550,0.6166719292706031,,10,Bernoulli,2.5,False,False,1.0
286,0.6166719292706031,,3,Bernoulli,3.0,False,False,1.0
477,0.6166719292706031,,10,Bernoulli,1.0,False,True,1.0
261,0.6166719292706031,,3,Bernoulli,2.5,False,True,1.0
501,0.6166719292706031,,10,Bernoulli,1.5,False,True,1.0
237,0.6166719292706031,,3,Bernoulli,2.0,False,True,1.0
238,0.6166719292706031,,3,Bernoulli,2.0,False,False,1.0
454,0.6166719292706031,,10,Bernoulli,0.5,False,False,1.0
453,0.6166719292706031,,10,Bernoulli,0.5,False,True,1.0
573,0.6166719292706031,,10,Bernoulli,3.0,False,True,1.0
574,0.6166719292706031,,10,Bernoulli,3.0,False,False,1.0
525,0.6166719292706031,,10,Bernoulli,2.0,False,True,1.0
502,0.6166719292706031,,10,Bernoulli,1.5,False,False,1.0
526,0.6166719292706031,,10,Bernoulli,2.0,False,False,1.0
189,0.6165140511525102,,3,Bernoulli,1.0,False,True,1.0
165,0.6165140511525102,,3,Bernoulli,0.5,False,True,1.0
190,0.6165140511525102,,3,Bernoulli,1.0,False,False,1.0
166,0.6165140511525102,,3,Bernoulli,0.5,False,False,1.0
338,0.6155667824439532,,5,Bernoulli,1.0,False,False,1.5
337,0.6155667824439532,,5,Bernoulli,1.0,False,True,1.5
314,0.6155667824439532,,5,Bernoulli,0.5,False,False,1.5
313,0.6155667824439532,,5,Bernoulli,0.5,False,True,1.5
361,0.6154089043258605,,5,Bernoulli,1.5,False,True,1.5
362,0.6154089043258605,,5,Bernoulli,1.5,False,False,1.5
385,0.6154089043258605,,5,Bernoulli,2.0,False,True,1.5
386,0.6154089043258605,,5,Bernoulli,2.0,False,False,1.5
409,0.6154089043258605,,5,Bernoulli,2.5,False,True,1.5
410,0.6154089043258605,,5,Bernoulli,2.5,False,False,1.5
433,0.6154089043258605,,5,Bernoulli,3.0,False,True,1.5
434,0.6154089043258605,,5,Bernoulli,3.0,False,False,1.5
217,0.6150931480896747,,3,Bernoulli,1.5,False,True,1.5
289,0.6150931480896747,,3,Bernoulli,3.0,False,True,1.5
218,0.6150931480896747,,3,Bernoulli,1.5,False,False,1.5
290,0.6150931480896747,,3,Bernoulli,3.0,False,False,1.5
266,0.6150931480896747,,3,Bernoulli,2.5,False,False,1.5
241,0.6150931480896747,,3,Bernoulli,2.0,False,True,1.5
242,0.6150931480896747,,3,Bernoulli,2.0,False,False,1.5
265,0.6150931480896747,,3,Bernoulli,2.5,False,True,1.5
169,0.614935269971582,,3,Bernoulli,0.5,False,True,1.5
170,0.614935269971582,,3,Bernoulli,0.5,False,False,1.5
193,0.614935269971582,,3,Bernoulli,1.0,False,True,1.5
194,0.614935269971582,,3,Bernoulli,1.0,False,False,1.5
482,0.6135143669087465,,10,Bernoulli,1.0,False,False,1.5
481,0.6135143669087465,,10,Bernoulli,1.0,False,True,1.5
457,0.6135143669087465,,10,Bernoulli,0.5,False,True,1.5
458,0.6135143669087465,,10,Bernoulli,0.5,False,False,1.5
530,0.6133564887906536,,10,Bernoulli,2.0,False,False,1.5
529,0.6133564887906536,,10,Bernoulli,2.0,False,True,1.5
553,0.6133564887906536,,10,Bernoulli,2.5,False,True,1.5
554,0.6133564887906536,,10,Bernoulli,2.5,False,False,1.5
577,0.6133564887906536,,10,Bernoulli,3.0,False,True,1.5
578,0.6133564887906536,,10,Bernoulli,3.0,False,False,1.5
506,0.6133564887906536,,10,Bernoulli,1.5,False,False,1.5
505,0.6133564887906536,,10,Bernoulli,1.5,False,True,1.5
